;caption;rating
305;wahnsinnig tolle pizza lecker;5.0
306;absolut lecker;5.0
307;very tasty pizza busy friendly setting great lovers neapolitan style pizza;5.0
308;wunderbar;5.0
309;love their neapolitan style pizza tastes just like original it's small usually take away even with worst line they super fast;5.0
310;pizza service faire preise service super;5.0
311;beste pizza frankfurts einzige pizza napoletana nennen voll warten absolut normal nachvollziehbar verstehe negativen rezensionen;5.0
312;leckere pizzen;5.0
313;super leckere pizza neapel preise frankfurt fair großzügig belegt;5.0
314;super pizza;5.0
315;pizza teuer authentisch neapolitanisch;5.0
316;einfach geil sagen;5.0
317;netter service spitzen pizza;5.0
318;perfect;5.0
319;great place neopolitano pizza very crowded youre probably best suited dont come during after work hours;5.0
320;super leckere pizza reservieren relativ tisch warten trotz kalter temperaturen draußen gegessen bestellt bezahlt theke hinterlässt namen;4.0
321;best pizza frankfurt;5.0
322;everything great there pizza quality taste price hope they stay they ever;5.0
323;hands down best pizza frankfurt least pizza place;5.0
324;laden irgendwie komplett overrated service köche männlich einzige poser-show zuvorkommend freundlich service angeht musik laut;2.0
325;super leckere pizza netter service gerne;5.0
326;probably best pizza frankfurt;5.0
327;geburtstag freitag abend gefeiert insgesamt hungrige junge männer gaben bestellung pizzen warten lassen minuten pizzen;5.0
328;went there during rush hour wait more than hour pizza trick though order takeaway quicker still table pizza great;3.0
329;grandiose pizza neapel wartezeiten stoßzeiten telefon;3.0
330;frau super bros klassischen pizzen genommen margarita pizza matschig mitte geschmacklich tomatengeschmack raus büffelmozarella ebenfalls geschmacklich neutral geschmack sagen schlechtesten pizzen gegessen gegessen hype laden nachvollziehen ebenfalls eindruck eher nachtclub anstatt pizzeria dunkel laut empfehlen;1.0
331;pizzen frankfurts authentisch neapolitanisch bestellt kasse häufig schlange stoßzeiten schwierig sitzplatz bekommen;5.0
332;pizza lecker innen laut ungemütlich service naja minuten anstehen bestellen nochmal minuten warten reste abräumen person bestellung entgegennimmt freundlich;3.0
333;waited over hour pizza from time payment granted friday night staff should inform customers hour wait time before taking payment rather than after pizza delicious though best frankfurt reasonably priced atmosphere around place great order drinks whilst wait should consider bringing some snacks there starters nibbles menu;3.0
334;versucht anzurufen pizza mitnehmen bestellen sowieso telefon scheinbar hält nötig sowieso leute vorbeikommen min. warterei kamen pizzen ecke gegessen blieb feuerwerk teig irgendwie gummiartig zutaten fehlte gewisse geschmacklich flach umami erhofft pizza montana gewinnt direkten vergleich;3.0
335;1h20 delay super says waiter funny;1.0
336;leckere pizza ambiente eher längeren verbleib essen weiterziehen positive emotionen fein;4.0
337;words just amazing very delicious pizza great atmosphere great service good take away service;5.0
338;best pizza ever;5.0
339;echte neapolitanische pizza warten dürften direkt rein platz bekommen coole leute essen;4.0
340;persönlich beste pizza burratina bleibt ungeschlagener liebling bockenheimer kekspizza sorry;5.0
341;neapolitanischen pizza besuch lohnt fall nachmittags persönlich konzept laute musik abend;4.0
342;frau minuten stehen gewartet entschied setzen freien tische außenbereich höchstens minuten bestellung aufgeben sprach;1.0
343;echter italiener schmeckt sogar intensiven geschmack tomate büffelmozzarella heraus problem sitzplatz finden irgendwie klappts mitbringen;4.0
344;stück neapel frankfurt sicher beste pizza außerhalb neapel gegessen probiert verpasst;5.0
345;leckere pizza teig extrem lecker vegane käse pizza essen getränke theke bestellen bezahlen;5.0
346;very interesting tasty pizza;5.0
347;pizza niveau komme gerne freundliches zuvorkommendes personal samstag abends läuft zudem musik empfehlen;5.0
348;perfekt überragend wochenende super stimmung einfach essen schönen abend;5.0
349;vernünftige neapolitanische pizza danke bros;5.0
350;beste pizza stadt;5.0
351;spitzenklasse;5.0
352;pizzen außerhalb italiens stimmung laden mega cool wahrscheinlich geschmackssache pizza frankfurt laden besuchen;5.0
353;mega leckers pizza egal echt klasse nettes personal angenehmes ambiente;5.0
354;hervorragende neapolitanische pizza;5.0
355;staff super fruendliche atmosphäre chillig schöne auswahl pizzas lecker schnell fertig wartezeit qalität leidet;5.0
356;leckere pizza hochpreisig;5.0
357;amazing pizza;5.0
358;pizza durchschnitt atmosphäre eher jüngere volk preis fair;4.0
